location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Standard Double Room,Test,2,13,99,1,2,65.0,65.0,0.0,10.0,01/01/2026,31/03/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Standard Double Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Standard Double Room,Test,2,5,12,1,2,25.0,50.0,0.0,15.0,01/04/2026,31/05/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Standard Double Room,Test,2,13,99,1,2,50.0,50.0,0.0,15.0,01/04/2026,31/05/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Standard Double Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/06/2026,31/12/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Standard Double Room,Test,2,5,12,1,2,32.5,65.0,0.0,10.0,01/06/2026,31/12/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Standard Double Room,Test,2,13,99,1,2,65.0,65.0,0.0,10.0,01/06/2026,31/12/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Standard Twin Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/01/2026,31/03/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Standard Twin Room,Test,2,5,12,1,2,32.5,65.0,0.0,10.0,01/01/2026,31/03/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Standard Twin Room,Test,2,13,99,1,2,65.0,65.0,0.0,10.0,01/01/2026,31/03/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Standard Twin Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Standard Twin Room,Test,2,5,12,1,2,25.0,50.0,0.0,10.0,01/04/2026,31/05/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Standard Twin Room,Test,2,13,99,1,2,50.0,50.0,0.0,10.0,01/04/2026,31/05/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Standard Twin Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/06/2026,31/12/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Standard Twin Room,Test,2,5,12,1,2,32.5,65.0,0.0,10.0,01/06/2026,31/12/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Standard Twin Room,Test,2,13,99,1,2,65.0,65.0,0.0,10.0,01/06/2026,31/12/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Standard Triple Room,Test,3,0,4,1,3,0.0,0.0,0.0,0.0,01/01/2026,31/03/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Standard Triple Room,Test,3,5,12,1,3,29.16,58.33,0.0,10.0,01/01/2026,31/03/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Standard Triple Room,Test,3,13,99,1,3,58.33,58.33,0.0,10.0,01/01/2026,31/03/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Standard Triple Room,Test,3,0,4,1,3,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Standard Triple Room,Test,3,5,12,1,3,27.5,55.0,0.0,10.0,01/04/2026,31/05/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Standard Triple Room,Test,3,13,99,1,3,55.0,55.0,0.0,10.0,01/04/2026,31/05/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Standard Triple Room,Test,3,0,4,1,3,0.0,0.0,0.0,0.0,01/06/2026,31/12/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Standard Triple Room,Test,3,5,12,1,3,29.16,58.33,0.0,10.0,01/06/2026,31/12/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Standard Triple Room,Test,3,13,99,1,3,58.33,58.33,0.0,10.0,01/06/2026,31/12/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Suite Single Room,Test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/01/2026,31/03/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Suite Single Room,Test,1,5,12,1,1,55.0,0.0,0.0,20.0,01/01/2026,31/03/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Suite Single Room,Test,1,13,99,1,1,110.0,0.0,0.0,20.0,01/01/2026,31/03/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Suite Single Room,Test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Suite Single Room,Test,1,5,12,1,1,40.0,0.0,0.0,10.0,01/04/2026,31/05/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Suite Single Room,Test,1,13,99,1,1,80.0,0.0,0.0,10.0,01/04/2026,31/05/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Suite Single Room,Test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/06/2026,31/12/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Suite Single Room,Test,1,5,12,1,1,55.0,0.0,0.0,20.0,01/06/2026,31/12/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Suite Single Room,Test,1,13,99,1,1,110.0,0.0,0.0,20.0,01/06/2026,31/12/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Suite Double Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/01/2026,31/03/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Suite Double Room,Test,2,5,12,1,2,37.5,75.0,0.0,10.0,01/01/2026,31/03/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Suite Double Room,Test,2,13,99,1,2,75.0,75.0,0.0,10.0,01/01/2026,31/03/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Suite Double Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Suite Double Room,Test,2,5,12,1,2,30.0,60.0,0.0,10.0,01/04/2026,31/05/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Suite Double Room,Test,2,13,99,1,2,60.0,60.0,0.0,10.0,01/04/2026,31/05/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Suite Double Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/06/2026,31/12/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Suite Double Room,Test,2,5,12,1,2,37.5,75.0,0.0,10.0,01/06/2026,31/12/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Suite Double Room,Test,2,13,99,1,2,75.0,75.0,0.0,10.0,01/06/2026,31/12/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Suite Twin Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/01/2026,31/03/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Suite Twin Room,Test,2,5,12,1,2,37.5,75.0,0.0,10.0,01/01/2026,31/03/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Suite Twin Room,Test,2,13,99,1,2,75.0,75.0,0.0,10.0,01/01/2026,31/03/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Suite Twin Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Suite Twin Room,Test,2,5,12,1,2,30.0,60.0,0.0,10.0,01/04/2026,31/05/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Suite Twin Room,Test,2,13,99,1,2,60.0,60.0,0.0,10.0,01/04/2026,31/05/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Suite Twin Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/06/2026,31/12/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Suite Twin Room,Test,2,5,12,1,2,37.5,75.0,0.0,10.0,01/06/2026,31/12/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Suite Twin Room,Test,2,13,99,1,2,75.0,75.0,0.0,10.0,01/06/2026,31/12/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Suite Triple Room,Test,3,0,4,1,3,0.0,0.0,0.0,0.0,01/01/2026,31/03/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Suite Triple Room,Test,3,5,12,1,3,34.16,68.33,0.0,10.0,01/01/2026,31/03/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Suite Triple Room,Test,3,13,99,1,3,68.33,68.33,0.0,10.0,01/01/2026,31/03/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Suite Triple Room,Test,3,0,4,1,3,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Suite Triple Room,Test,3,5,12,1,3,29.16,58.33,0.0,10.0,01/04/2026,31/05/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Suite Triple Room,Test,3,13,99,1,3,58.33,58.33,0.0,10.0,01/04/2026,31/05/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Suite Triple Room,Test,3,0,4,1,3,0.0,0.0,0.0,0.0,01/06/2026,31/12/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Suite Triple Room,Test,3,5,12,1,3,34.16,68.33,0.0,10.0,01/06/2026,31/12/2026
Karatu,Eileen's Trees Inn,,Test,FALSE,0,FALSE,USD,Suite Triple Room,Test,3,13,99,1,3,68.33,68.33,0.0,10.0,01/06/2026,31/12/2026
