location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Deluxe Single Tent,test,1,0,4,1,1,0.0,0.0,0.0,0.0,04/01/2026,28/02/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Deluxe Single Tent,test,1,5,11,1,1,0.0,0.0,0.0,0.0,04/01/2026,28/02/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Deluxe Single Tent,test,1,12,17,1,1,0.0,0.0,0.0,0.0,04/01/2026,28/02/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Deluxe Single Tent,test,1,18,99,1,1,0.0,0.0,0.0,0.0,04/01/2026,28/02/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Deluxe Single Tent,test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/03/2026,14/06/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Deluxe Single Tent,test,1,5,11,1,1,0.0,0.0,0.0,0.0,01/03/2026,14/06/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Deluxe Single Tent,test,1,12,17,1,1,0.0,0.0,0.0,0.0,01/03/2026,14/06/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Deluxe Single Tent,test,1,18,99,1,1,0.0,0.0,0.0,0.0,01/03/2026,14/06/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Deluxe Single Tent,test,1,0,4,1,1,0.0,0.0,0.0,0.0,15/06/2026,30/06/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Deluxe Single Tent,test,1,5,11,1,1,417.0,0.0,0.0,0.0,15/06/2026,30/06/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Deluxe Single Tent,test,1,12,17,1,1,625.5,0.0,0.0,0.0,15/06/2026,30/06/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Deluxe Single Tent,test,1,18,99,1,1,834.0,0.0,0.0,0.0,15/06/2026,30/06/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Deluxe Single Tent,test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/07/2026,30/09/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Deluxe Single Tent,test,1,5,11,1,1,588.0,0.0,0.0,0.0,01/07/2026,30/09/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Deluxe Single Tent,test,1,12,17,1,1,882.0,0.0,0.0,0.0,01/07/2026,30/09/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Deluxe Single Tent,test,1,18,99,1,1,1176.0,0.0,0.0,0.0,01/07/2026,30/09/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Deluxe Single Tent,test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/10/2026,19/12/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Deluxe Single Tent,test,1,5,11,1,1,417.0,0.0,0.0,0.0,01/10/2026,19/12/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Deluxe Single Tent,test,1,12,17,1,1,625.5,0.0,0.0,0.0,01/10/2026,19/12/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Deluxe Single Tent,test,1,18,99,1,1,834.0,0.0,0.0,0.0,01/10/2026,19/12/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Deluxe Single Tent,test,1,0,4,1,1,0.0,0.0,0.0,0.0,20/12/2026,03/01/2027
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Deluxe Single Tent,test,1,5,11,1,1,588.0,0.0,0.0,0.0,20/12/2026,03/01/2027
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Deluxe Single Tent,test,1,12,17,1,1,882.0,0.0,0.0,0.0,20/12/2026,03/01/2027
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Deluxe Single Tent,test,1,18,99,1,1,1176.0,0.0,0.0,0.0,20/12/2026,03/01/2027
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Deluxe Double Tent,test,2,0,4,1,2,0.0,0.0,0.0,0.0,04/01/2026,28/02/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Deluxe Double Tent,test,2,5,11,1,2,0.0,0.0,0.0,0.0,04/01/2026,28/02/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Deluxe Double Tent,test,2,12,17,1,2,0.0,0.0,0.0,0.0,04/01/2026,28/02/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Deluxe Double Tent,test,2,18,99,1,2,0.0,0.0,0.0,0.0,04/01/2026,28/02/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Deluxe Double Tent,test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/03/2026,14/06/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Deluxe Double Tent,test,2,5,11,1,2,0.0,0.0,0.0,0.0,01/03/2026,14/06/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Deluxe Double Tent,test,2,12,17,1,2,0.0,0.0,0.0,0.0,01/03/2026,14/06/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Deluxe Double Tent,test,2,18,99,1,2,0.0,0.0,0.0,0.0,01/03/2026,14/06/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Deluxe Double Tent,test,2,0,4,1,2,0.0,0.0,0.0,0.0,15/06/2026,30/06/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Deluxe Double Tent,test,2,5,11,1,2,278.0,556.0,0.0,0.0,15/06/2026,30/06/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Deluxe Double Tent,test,2,12,17,1,2,417.0,556.0,0.0,0.0,15/06/2026,30/06/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Deluxe Double Tent,test,2,18,99,1,2,556.0,556.0,0.0,0.0,15/06/2026,30/06/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Deluxe Double Tent,test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/07/2026,30/09/2026
